player,name,team,href
25035,Johnathan Campbell,12,
1423867,Takudzwa Chataira,12,
14204,Sediqullah Atal,96,/profiles/14204/sediqullah-atal
36501,AM Ghazanfar,96,/profiles/36501/am-ghazanfar
23106,Naveed Zadran,96,/profiles/23106/naveed-zadran
53160,Bashir Ahmad,96,
9848,Fareed Ahmad Malik,96,
14281,Zahir Shehzad,96,
1449069,Ismat Alam,96,
9609,Yamin Ahmadzai,96,
10738,Rashid Khan,96,/profiles/10738/rashid-khan
13930,Sonal Dinusha,5,
15586,Lahiru Udara,5,
15146,Todd Murphy,4,/profiles/15146/todd-murphy
13346,Nathan McSweeney,4,
8136,Sean Abbott,4,
15927,Cooper Connolly,4,
1788,Mohammad Talha,3,
624,Eoin Morgan,9,/profiles/624/eoin-morgan
397,Chris Tremlett,9,/profiles/397/chris-tremlett
573,Graham Onions,9,
1584,Naeem Islam,6,/profiles/1584/naeem-islam
392,Shahadat Hossain,6,/profiles/392/shahadat-hossain
8109,Elias Sunny,6,/profiles/8109/elias-sunny
3215,Raqibul Hasan,6,/profiles/3215/raqibul-hasan
6284,Suhrawadi Shuvo,6,
381,Fidel Edwards,10,/profiles/381/fidel-edwards
536,Carlton Baugh,10,/profiles/536/carlton-baugh
1610,Darren Bravo,10,/profiles/1610/darren-bravo
7748,Kirk Edwards,10,/profiles/7748/kirk-edwards
253,Daren Sammy,10,/profiles/253/daren-sammy
244,Shivnarine Chanderpaul,10,/profiles/244/shivnarine-chanderpaul
7633,Devendra Bishoo,10,/profiles/7633/devendra-bishoo
4265,Ravi Rampaul,10,/profiles/4265/ravi-rampaul
356,Marlon Samuels,10,/profiles/356/marlon-samuels
599,Lendl Simmons,10,/profiles/599/lendl-simmons
6482,Shane Shillingford,10,
399,Denesh Ramdin,10,
1989,Kieran Powell,10,
69,Yuvraj Singh,2,/profiles/69/yuvraj-singh
6293,Varun Aaron,2,
6304,Rahul Sharma,2,
1911,Adrian Barath,10,
788,Nazimuddin,6,/profiles/788/nazimuddin
3788,Mohammad Khalil,3,
375,Narsingh Deonarine,10,/profiles/375/narsingh-deonarine
1649,Matthew Wade,4,/profiles/1649/matthew-wade
