seriesid,seriesname
1541,India in Zimbabwe Test Series, 2005
1542,ICC World XI in Australia, 2005
1543,West Indies in Australia, 2005
1544,England in Pakistan Test Series, 2005
1545,Sri Lanka in India Test Series, 2005
1546,South Africa in Australia Test Series, 2005-06
1547,India in Pakistan Test Series, 2006
1548,Sri Lanka in Bangladesh Test Series, 2006
1549,England in India Test Series. 2006
1550,West Indies in New Zealand Test Series, 2006
1551,Australia in South Africa Test Series, 2006
1552,Pakistan in Sri Lanka Test Series, 2006
1553,Australia in Bangladesh Test Series, 2006
1554,New Zealand in South Africa Test Series, 2006
4086,Australia tour of Sri Lanka, 2022
4100,Sri Lanka tour of Bangladesh, 2022
4212,Bangladesh tour of West Indies, 2022
4245,West Indies tour of Australia, 2022
4254,South Africa tour of Australia, 2022-23
1515,Sri Lanka in Zimbabwe Test Series, 2004
1516,Bangladesh in West Indies Test Series, 2004
1517,New Zealand in England Test Series, 2004
1518,Sri Lanka in Australia Test Series, 2004
1519,South Africa in Sri Lanka Test Series, 2004
1520,West Indies in England, 2004
1521,New Zealand in Bangladesh Test Series, 2004
1522,Sri Lanka in Pakistan Test Series, 2004
1523,Australia in India, 2004
1524,New Zealand in Australia, 2004
1526,India in Bangladesh Test Series, 2004
1527,Pakistan in Australia Test Series, 2004-05
1528,Zimbabwe in Bangladesh Test Series, 2005
1529,England in South Africa, 2004-05
1530,Zimbabwe in South Africa Test Series, 2005
1531,Pakistan in India Test Series, 2005
1532,Australia in New Zealand, 2005
1533,Sri Lanka in New Zealand Test Series, 2005
1534,South Africa in West Indies, 2005
4315,Pakistan tour of Sri Lanka, 2022
4413,England tour of New Zealand, 2023
4415,Sri Lanka tour New Zealand, 2023
1493,South Africa in Bangladesh Test Series, 2003
1494,New Zealand in Sri Lanka Test Series, 2003
1496,Zimbabwe in England Test Series, 2003
1497,Sri Lanka in West Indies Test Series, 2003
1498,Bangladesh in Australia Test Series, 2003
1499,Bangladesh in Pakistan Test Series, 2003
1500,South Africa in England Test Series, 2003
1501,New Zealand in India Test Series, 2003
1502,Zimbabwe in Australia, 2003
1503,South Africa in Pakistan Test Series, 2003
1504,England in Bangladesh Test Series, 2003
1505,West Indies in Zimbabwe, 2003
1506,England in Sri Lanka Test Series, 2003
1507,Pakistan in New Zealand Test Series, 2003
1508,India in Australia, 2003-04
4492,England tour of Pakistan, 2022
1509,West Indies in South Africa, 2003-04
1510,Bangladesh in Zimbabwe Test Series,2004
1511,Australia in Sri Lanka Test Series, 2004
1512,South Africa in New Zealand Test Series, 2004
1513,England in West Indies, 2004
1514,India in Pakistan Test Series, 2004
4777,The Ashes, 2023
4786,Ireland tour of England Only Test, 2023
1478,New Zealand in Pakistan Test Series, 2002
1480,Sri Lanka in England Test Series, 2002
1481,New Zealand in West Indies Test Series, 2002
1482,Bangladesh in Sri Lanka Test Series, 2002
1483,India in England Test Series, 2002
1484,Australia v Pakistan Test Series, 2002
1485,Bangladesh in South Africa Test Series, 2002
1486,West Indies in India Test Series, 2002
1487,Pakistan in Zimbabwe Test Series, 2002
1488,Sri Lanka in South Africa Test Series, 2002
1489,West Indies in Bangladesh Test Series, 2002
1490,India in New Zealand Test Series, 2002
1491,Pakistan in South Africa Test Series, 2002-03
1492,England in Australia, 2002-03
1495,Australia in West Indies, 2003
1458,Pakistan in England Test Series, 2001
1459,India in Zimbabwe Test Series, 2001
1460,West Indies in Zimbabwe, 2001
1461,Australia in England, 2001
1462,India in Sri Lanka Test Series, 2001
1463,South Africa in Zimbabwe Test Series, 2001
1464,Zimbabwe in Bangladesh Test Series, 2001
1465,India in South Africa Test Series, 2001
1466,West Indies in Sri Lanka Test Series, 2001
1467,New Zealand in Australia, 2001
1468,England in India Test Series, 2001
1469,Bangladesh in New Zealand Test Series, 2001
1470,South Africa in Australia Test Series, 2001-02
1471,Zimbabwe in Sri Lanka Test Series, 2002
1472,Pakistan in Bangladesh Test Series, 2002
1473,Pakistan v West Indies Test Series, 2002
1474,Zimbabwe in India Test Series, 2002
1475,Bangladesh, Pakistan, Sri Lanka in Pakistan/Sri Lanka, 2001-02
1476,Australia in South Africa Test Series, 2002
1477,England in New Zealand Test Series, 2002
1479,India in West Indies Test Series, 2002
4854,West Indies tour of South Africa, 2023
4889,New Zealand tour of Pakistan, 2022-23
4905,India tour of Bangladesh, 2022
1426,New Zealand in England Test Series, 1999
1427,Australia in Sri Lanka Test Series, 1999
1428,Australia in Zimbabwe, 1999
1429,New Zealand in India Test Series, 1999
1430,South Africa v Zimbabwe Test Series, 1999
1431,Pakistan in Australia Test Series, 1999
1432,Sri Lanka in Zimbabwe Test Series, 1999
1433,West Indies in New Zealand Test Series, 1999
1434,India in Australia, 1999-00
1435,England in South Africa Test Series, 1999-00
1436,South Africa in India Test Series, 2000
1437,Sri Lanka in Pakistan Test Series, 2000
1438,Zimbabwe in West Indies Test Series, 2000
1439,Australia in New Zealand, 2000
1440,Pakistan in West Indies Test Series, 2000
1441,Zimbabwe in England Test Series, 2000
1442,Pakistan in Sri Lanka Test Series, 2000
1443,South Africa in Sri Lanka Test Series, 2000
1444,West Indies in England, 2000
1445,New Zealand in Zimbabwe Test Series, 2000
1446,India in Bangladesh Test Match, 2000
1447,Zimbabwe in India Test Series, 2000
1448,England in Pakistan Test Series, 2000
1449,New Zealand in South Africa Test Series, 2000
1450,Zimbabwe in New Zealand Test Match, 2000
1451,West Indies in Australia, 2000-01
1452,Sri Lanka in South Africa Test Series, 2000-01
1453,England in Sri Lanka Test Series, 2001
1454,Australia in India, 2001
1455,Pakistan in New Zealand Test Series, 2001
1456,South Africa in West Indies, 2001
1457,Bangladesh in Zimbabwe Test Series, 2001
5204,Australia tour of India, 2023
5260,West Indies tour of Zimbabwe, 2023
1397,Sri Lanka in West Indies Test Series, 1997
1398,India in Sri Lanka Test Series, 1997
1399,Australia in England, 1997
1400,New Zealand in Zimbabwe Test Series, 1997
1401,South Africa in Pakistan Test Series, 1997
1402,New Zealand in Australia, 1997
1403,Sri Lanka in India Test Series, 1997
1404,West Indies in Pakistan Test Series, 1997
1405,Zimbabwe in Sri Lanka Test Series, 1998
1406,South Africa in Australia Test Series, 1997-98
1407,Zimbabwe in New Zealand Test Series, 1998
1408,Pakistan in South Africa Test Series, 1998
1409,England in West Indies, 1998
1410,Pakistan in Zimbabwe Test Series, 1998
1411,Australia in India, 1998
1412,Sri Lanka in South Africa Test Series, 1998
1413,New Zealand in Sri Lanka Test Series, 1998
1414,South Africa in England Test Series, 1998
1415,Sri Lanka in England Test Match, 1998
1416,India in Zimbabwe Test Match, 1998
